Bildnummer;Zeit [s];Pixel (X) [px];Pixel (Y) [px];X Position [px];Y Position [px];Abstand [px];Abstand in x-Richtung [px];Abstand in y-Richtung [px];Strecke [px];Strecke in x-Richtung [px];Strecke in y-Richtung [px];Geschwindigkeit [px/s];Geschwindigkeit in x-Richtung [px/s];Geschwindigkeit in y-Richtung [px/s];Beschleunigung [px/s²];Beschleunigung in x-Richtung [px/s²];Beschleunigung in y-Richtung [px/s²];
1;0;933;854;933;854;0;0;0;0;0;0;0;0;0;409,09;-409,09;0;
2;0,0494;933;854;933;854;1;-1;0;1;-1;0;20,23;-20,23;0;0;409,09;-409,09;
3;0,0989;932;854;932;854;1;0;-1;2;-1;-1;20,23;0;-20,23;0;0;818,18;
4;0,1483;932;853;932;853;1;0;1;3;-1;0;20,23;0;20,23;169,45;409,09;0;
5;0,1978;932;854;932;854;1,41;1;1;4,41;0;1;28,6;20,23;20,23;-169,45;-409,09;-818,18;
6;0,2472;933;855;933;855;1;0;-1;5,41;0;0;20,23;0;-20,23;0;0;818,18;
7;0,2966;933;854;933;854;1;0;1;6,41;0;1;20,23;0;20,23;505,66;-409,09;-1227,27;
8;0,3461;933;855;933;855;2,24;-1;-2;8,65;-1;-1;45,23;-20,23;-40,45;242,33;1227,27;1636,36;
9;0,3955;932;853;932;853;2,83;2;2;11,48;1;1;57,21;40,45;40,45;-578,54;-1227,27;-1227,27;
10;0,445;934;855;934;855;1,41;-1;-1;12,89;0;0;28,6;-20,23;-20,23;0;818,18;818,18;
11;0,4944;933;854;933;854;1,41;1;1;14,31;1;1;28,6;20,23;20,23;0;-818,18;0;
12;0,5439;934;855;934;855;1,41;-1;1;15,72;0;2;28,6;-20,23;20,23;0;818,18;0;
13;0,5933;933;856;933;856;1,41;1;1;17,14;1;3;28,6;20,23;20,23;-578,54;-409,09;-409,09;
14;0,6427;934;857;934;857;0;0;0;17,14;1;3;0;0;0;409,09;0;-409,09;
15;0,6922;934;857;934;857;1;0;-1;18,14;1;2;20,23;0;-20,23;0;0;0;
16;0,7416;934;856;934;856;1;0;-1;19,14;1;1;20,23;0;-20,23;409,09;0;1227,27;
17;0,7911;934;855;934;855;2;0;2;21,14;1;3;40,45;0;40,45;-409,09;0;-1227,27;
18;0,8405;934;857;934;857;1;0;-1;22,14;1;2;20,23;0;-20,23;0;0;818,18;
19;0,8899;934;856;934;856;1;0;1;23,14;1;3;20,23;0;20,23;169,45;-409,09;-818,18;
20;0,9394;934;857;934;857;1,41;-1;-1;24,55;0;2;28,6;-20,23;-20,23;-169,45;818,18;409,09;
21;0,9888;933;856;933;856;1;1;0;25,55;1;2;20,23;20,23;0;0;-409,09;-409,09;
22;1,0383;934;856;934;856;1;0;-1;26,55;1;1;20,23;0;-20,23;-409,09;0;409,09;
23;1,0877;934;855;934;855;0;0;0;26,55;1;1;0;0;0;818,18;0;818,18;
24;1,1372;934;855;934;855;2;0;2;28,55;1;3;40,45;0;40,45;-409,09;0;-1227,27;
25;1,1866;934;857;934;857;1;0;-1;29,55;1;2;20,23;0;-20,23;0;0;0;
26;1,236;934;856;934;856;1;0;-1;30,55;1;1;20,23;0;-20,23;0;0;818,18;
27;1,2855;934;855;934;855;1;0;1;31,55;1;2;20,23;0;20,23;169,45;-409,09;0;
28;1,3349;934;856;934;856;1,41;-1;1;32,96;0;3;28,6;-20,23;20,23;0;818,18;-818,18;
29;1,3844;933;857;933;857;1,41;1;-1;34,38;1;2;28,6;20,23;-20,23;336,21;-818,18;-409,09;
30;1,4338;934;856;934;856;2,24;-1;-2;36,61;0;0;45,23;-20,23;-40,45;-336,21;818,18;1227,27;
31;1,4832;933;854;933;854;1,41;1;1;38,03;1;1;28,6;20,23;20,23;-578,54;-409,09;-409,09;
32;1,5327;934;855;934;855;0;0;0;38,03;1;1;0;0;0;818,18;0;818,18;
33;1,5821;934;855;934;855;2;0;2;40,03;1;3;40,45;0;40,45;-818,18;0;-818,18;
34;1,6316;934;857;934;857;0;0;0;40,03;1;3;0;0;0;818,18;0;-818,18;
35;1,681;934;857;934;857;2;0;-2;42,03;1;1;40,45;0;-40,45;96,57;-818,18;409,09;
36;1,7304;934;855;934;855;2,24;-2;-1;44,26;-1;0;45,23;-40,45;-20,23;-505,66;1227,27;409,09;
37;1,7799;932;854;932;854;1;1;0;45,26;0;0;20,23;20,23;0;0;-409,09;409,09;
38;1,8293;933;854;933;854;1;0;1;46,26;0;1;20,23;0;20,23;169,45;409,09;-818,18;
39;1,8788;933;855;933;855;1,41;1;-1;47,68;1;0;28,6;20,23;-20,23;336,21;-1227,27;818,18;
40;1,9282;934;854;934;854;2,24;-2;1;49,91;-1;1;45,23;-40,45;20,23;-336,21;1227,27;-818,18;
41;1,9777;932;855;932;855;1,41;1;-1;51,33;0;0;28,6;20,23;-20,23;0;-818,18;0;
42;2,0271;933;854;933;854;1,41;-1;-1;52,74;-1;-1;28,6;-20,23;-20,23;-578,54;409,09;409,09;
43;2,0765;932;853;932;853;0;0;0;52,74;-1;-1;0;0;0;578,54;409,09;409,09;
44;2,126;932;853;932;853;1,41;1;1;54,16;0;0;28,6;20,23;20,23;-169,45;-409,09;0;
45;2,1754;933;854;933;854;1;0;1;55,16;0;1;20,23;0;20,23;0;409,09;-409,09;
46;2,2249;933;855;933;855;1;1;0;56,16;1;1;20,23;20,23;0;409,09;-409,09;818,18;
47;2,2743;934;855;934;855;2;0;2;58,16;1;3;40,45;0;40,45;-409,09;0;-1227,27;
48;2,3237;934;857;934;857;1;0;-1;59,16;1;2;20,23;0;-20,23;0;0;818,18;
49;2,3732;934;856;934;856;1;0;1;60,16;1;3;20,23;0;20,23;0;0;-818,18;
50;2,4226;934;857;934;857;1;0;-1;61,16;1;2;20,23;0;-20,23;0;0;0;
51;2,4721;934;856;934;856;1;0;-1;62,16;1;1;20,23;0;-20,23;0;0;818,18;
52;2,5215;934;855;934;855;1;0;1;63,16;1;2;20,23;0;20,23;0;0;-818,18;
53;2,5709;934;856;934;856;1;0;-1;64,16;1;1;20,23;0;-20,23;0;0;818,18;
54;2,6204;934;855;934;855;1;0;1;65,16;1;2;20,23;0;20,23;-409,09;0;-409,09;
55;2,6698;934;856;934;856;0;0;0;65,16;1;2;0;0;0;409,09;0;-409,09;
56;2,7193;934;856;934;856;1;0;-1;66,16;1;1;20,23;0;-20,23;0;0;818,18;
57;2,7687;934;855;934;855;1;0;1;67,16;1;2;20,23;0;20,23;169,45;-409,09;0;
58;2,8182;934;856;934;856;1,41;-1;1;68,57;0;3;28,6;-20,23;20,23;-169,45;818,18;-409,09;
59;2,8676;933;857;933;857;1;1;0;69,57;1;3;20,23;20,23;0;169,45;-818,18;-409,09;
60;2,917;934;857;934;857;1,41;-1;-1;70,99;0;2;28,6;-20,23;-20,23;336,21;1227,27;0;
61;2,9665;933;856;933;856;2,24;2;-1;73,22;2;1;45,23;40,45;-20,23;0;-1227,27;1227,27;
62;3,0159;935;855;935;855;2,24;-1;2;75,46;1;3;45,23;-20,23;40,45;-505,66;409,09;-1227,27;
63;3,0654;934;857;934;857;1;0;-1;76,46;1;2;20,23;0;-20,23;-409,09;0;409,09;
64;3,1148;934;856;934;856;0;0;0;76,46;1;2;0;0;0;409,09;0;409,09;
65;3,1642;934;856;934;856;1;0;1;77,46;1;3;20,23;0;20,23;505,66;-409,09;-1227,27;
66;3,2137;934;857;934;857;2,24;-1;-2;79,69;0;1;45,23;-20,23;-40,45;-505,66;818,18;818,18;
