Bildnummer;Zeit [s];Pixel (X) [px];Pixel (Y) [px];X Position [px];Y Position [px];Abstand [px];Abstand in x-Richtung [px];Abstand in y-Richtung [px];Strecke [px];Strecke in x-Richtung [px];Strecke in y-Richtung [px];Geschwindigkeit [px/s];Geschwindigkeit in x-Richtung [px/s];Geschwindigkeit in y-Richtung [px/s];Beschleunigung [px/s²];Beschleunigung in x-Richtung [px/s²];Beschleunigung in y-Richtung [px/s²];
729;29,5;1114;963;1114;963;73,01;73;1;73,01;73;1;1801,66;1801,49;24,68;-37359,3;-48111,29;5481,03;
730;29,5405;1187;964;1187;964;11,66;-6;10;84,67;67;11;287,79;-148,07;246,78;-3657,1;1218,01;-3654,02;
731;29,581;1181;974;1181;974;5,66;-4;4;90,33;63;15;139,6;-98,71;98,71;-1249,25;4263,03;-1218,01;
732;29,6215;1177;978;1177;978;3,61;3;2;93,93;66;17;88,98;74,03;49,36;1703,73;-4263,03;-4263,03;
733;29,662;1180;980;1180;980;6,4;-4;-5;100,33;62;12;158,02;-98,71;-123,39;-1973,69;4263,03;2436,01;
734;29,7026;1176;975;1176;975;3,16;3;-1;103,5;65;11;78,04;74,03;-24,68;-1925,84;-1827,01;609;
735;29,7431;1179;974;1179;974;0;0;0;103,5;65;11;0;0;0;609;609;0;
736;29,7836;1179;974;1179;974;3;3;0;106,5;68;11;24,68;24,68;0;609;609;0;
739;29,9052;1182;974;1182;974;4;4;0;110,5;72;11;98,71;98,71;0;2202,02;-4263,03;4263,03;
740;29,9457;1186;974;1186;974;7,62;-3;7;118,11;69;18;187,94;-74,03;172,75;-786,36;-1827,01;-3045,02;
741;29,9862;1183;981;1183;981;6,32;-6;2;124,44;63;20;156,08;-148,07;49,36;-3242,67;3045,02;-1218,01;
742;30,0267;1177;983;1177;983;1;-1;0;125,44;62;20;24,68;-24,68;0;752,77;1827,01;-609;
743;30,0673;1176;983;1176;983;2,24;2;-1;127,67;64;19;55,18;49,36;-24,68;2189,3;609;3654,02;
744;30,1078;1178;982;1178;982;5,83;3;5;133,5;67;24;143,9;74,03;123,39;4247,98;3045,02;3045,02;
745;30,1483;1181;987;1181;987;12,81;8;10;146,31;75;34;316,03;197,42;246,78;-6937,79;-4263,03;-5481,03;
746;30,1888;1189;997;1189;997;1,41;1;1;147,72;76;35;34,9;24,68;24,68;2244,06;-3654,02;-1218,01;
747;30,2294;1190;998;1190;998;5,1;-5;-1;152,82;71;34;125,83;-123,39;-24,68;-381,77;5481,03;-609;
748;30,2699;1185;997;1185;997;4,47;4;-2;157,3;75;32;110,36;98,71;-49,36;980,88;-3045,02;4872,03;
749;30,3104;1189;995;1189;995;6,08;-1;6;163,38;74;38;150,11;-24,68;148,07;-599,1;-2436,01;-4263,03;
750;30,3509;1188;1001;1188;1001;5,1;-5;-1;168,48;69;37;125,83;-123,39;-24,68;599,1;2436,01;-3045,02;
751;30,3914;1183;1000;1183;1000;6,08;-1;-6;174,56;68;31;150,11;-24,68;-148,07;-1877,41;609;5481,03;
752;30,432;1182;994;1182;994;3;0;3;177,56;68;34;74,03;0;74,03;98,83;-1827,01;-1218,01;
753;30,4725;1182;997;1182;997;3,16;-3;1;180,72;65;35;78,04;-74,03;24,68;-707,83;609;-609;
754;30,513;1179;998;1179;998;2;-2;0;182,72;63;35;49,36;-49,36;0;-356,75;609;609;
755;30,5535;1177;998;1177;998;1,41;-1;1;184,14;62;36;34,9;-24,68;24,68;500,51;1218,01;-1827,01;
756;30,5941;1176;999;1176;999;2,24;1;-2;186,37;63;34;55,18;24,68;-49,36;-448,27;-1522,51;1218,01;
757;30,6346;1177;997;1177;997;3;-3;0;189,37;60;34;37,02;-37,02;0;-152,25;761,25;0;
759;30,7156;1174;997;1174;997;1;1;0;190,37;61;34;24,68;24,68;0;1607,8;-2740,52;609;
760;30,7561;1175;997;1175;997;7,28;-7;2;197,65;54;36;89,83;-86,37;24,68;1780,35;152,25;2436,01;
762;30,8372;1168;999;1168;999;9,49;-3;9;207,14;51;45;234,12;-74,03;222,1;-5168,51;1218,01;-5481,03;
763;30,8777;1165;1008;1165;1008;1;-1;0;208,14;50;45;24,68;-24,68;0;1901,98;-1827,01;-609;
