Bildnummer;Zeit [s];Pixel (X) [px];Pixel (Y) [px];X Position [px];Y Position [px];Abstand [px];Abstand in x-Richtung [px];Abstand in y-Richtung [px];Strecke [px];Strecke in x-Richtung [px];Strecke in y-Richtung [px];Geschwindigkeit [px/s];Geschwindigkeit in x-Richtung [px/s];Geschwindigkeit in y-Richtung [px/s];Beschleunigung [px/s²];Beschleunigung in x-Richtung [px/s²];Beschleunigung in y-Richtung [px/s²]
292;8,3809;1162;794;1162;794;3,16;1;-3;3,16;1;-3;54,9;17,36;-52,08;2030,63;1808,43;3014,04
294;8,4385;1163;791;1163;791;9,9;7;7;13,06;8;4;171,87;121,53;121,53;-553,75;-1808,43;-4521,06
296;8,4961;1170;798;1170;798;8,06;1;-8;21,12;9;-4;139,97;17,36;-138,89;65791,32;-49731,71;-44607,84
300;8,6113;1164;788;1164;788;11,4;9;-7;252,47;11;-13;131,96;104,17;-81,02;-256,52;-2411,23;1339,57
303;8,6977;1173;781;1173;781;3,16;-3;1;255,64;8;-12;109,8;-104,17;34,72;-3812,5;3616,85;-1205,62
304;8,7265;1170;782;1170;782;0;0;0;255,64;8;-12;0;0;0;6652,17;6028,09;-2813,11
305;8,7553;1170;782;1170;782;16,55;15;-7;272,19;23;-19;191,58;173,61;-81,02;-2016,45;-2009,36;736,77
308;8,8417;1185;775;1185;775;1;0;-1;273,19;23;-20;17,36;0;-17,36;785,32;904,21;904,21
310;8,8993;1185;774;1185;774;3,61;3;2;276,79;26;-18;62,6;52,08;34,72;819,52;-1507,02;-2411,23
312;8,9569;1188;776;1188;776;3,16;-1;-3;279,96;25;-21;109,8;-34,72;-104,17;-1763,34;-803,74;3214,98
313;8,9857;1187;773;1187;773;5,1;-5;-1;285,06;20;-22;59,02;-57,87;-11,57;973,91;2277,28;-267,91
316;9,0721;1182;772;1182;772;4,12;4;-1;289,18;24;-23;143,16;138,89;-34,72;-2275,05;-6028,09;3616,85
317;9,1009;1186;771;1186;771;2,24;-1;2;291,41;23;-21;77,64;-34,72;69,44;-1347,92;2411,23;-3014,04
318;9,1297;1185;773;1185;773;2,24;2;-1;293,65;25;-22;38,82;34,72;-17,36;1883,54;1205,62;-1507,02
320;9,1873;1187;772;1187;772;4,24;3;-3;297,89;28;-25;147,31;104,17;-104,17;-4262,5;-4219,66;4219,66
321;9,2161;1190;769;1190;769;1,41;-1;1;299,31;27;-24;24,55;-17,36;17,36;1480;-1507,02;301,4
323;9,2737;1189;770;1189;770;3,16;-3;1;302,47;24;-23;109,8;-104,17;34,72;2679,95;6028,09;-7233,7
324;9,3025;1186;771;1186;771;5,39;2;-5;307,86;26;-28;186,98;69,44;-173,61;-2977,5;-4219,66;9042,13
325;9,3313;1188;766;1188;766;5,83;-3;5;313,69;23;-23;101,23;-52,08;86,8;2055,02;2109,83;-5123,87
327;9,3889;1185;771;1185;771;6,32;2;-6;320,01;25;-29;219,6;69,44;-208,33;-6145,38;-2277,28;5760,17
328;9,4177;1187;765;1187;765;11,05;1;-11;331,06;26;-40;42,61;3,86;-42,44;-119,75;-14,88;208,38
337;9,6769;1188;754;1188;754;1;0;1;332,06;26;-39;11,57;0;11,57;792,31;703,28;-736,77
340;9,7633;1188;755;1188;755;9,22;7;-6;341,28;33;-45;80,03;60,76;-52,08;-481,58;-376,76;602,81
344;9,8785;1195;749;1195;749;1,41;1;1;342,69;34;-44;24,55;17,36;17,36;921,67;-904,21;-1507,02
346;9,9361;1196;750;1196;750;2,24;-1;-2;344,93;33;-46;77,64;-34,72;-69,44;970,9;602,81;-1205,62
347;9,9649;1195;748;1195;748;6,08;-1;-6;351,01;32;-52;105,6;-17,36;-104,17;1412,85;1507,02;4822,47
349;10,0225;1194;742;1194;742;5,39;2;5;356,39;34;-47;186,98;69,44;173,61;-5355,78;-1607,49;-6831,83
350;10,0513;1196;747;1196;747;2,83;2;-2;359,22;36;-49;32,74;23,15;-23,15;1630,47;937,7;-1339,57
353;10,1377;1198;745;1198;745;5;3;-4;364,22;39;-53;173,61;104,17;-138,89;-2215,59;0;6028,09
354;10,1665;1201;741;1201;741;3,16;3;1;367,38;42;-52;109,8;104,17;34,72;4712,5;-4822,47;7233,7
355;10,1953;1204;742;1204;742;7,07;-1;7;374,46;41;-45;245,52;-34,72;243,05;-3410;-2411,23;-12056,17
356;10,2241;1203;749;1203;749;4,24;-3;-3;378,7;38;-48;147,31;-104,17;-104,17;-1255,14;6630,9;1205,62
357;10,2529;1200;746;1200;746;6,4;5;-4;385,1;43;-52;111,16;86,8;-69,44;-582,01;-2712,64;1808,43
359;10,3105;1205;742;1205;742;2,24;-2;1;387,34;41;-51;77,64;-69,44;34,72;4334,05;8439,32;-4822,47
360;10,3393;1203;743;1203;743;5,83;5;-3;393,17;46;-54;202,46;173,61;-104,17;-882,43;0;2411,23
361;10,3681;1208;740;1208;740;5,1;5;-1;398,27;51;-55;177,05;173,61;-34,72;-1176,58;-10850,56;0
362;10,3969;1213;739;1213;739;4,12;-4;-1;402,39;47;-56;143,16;-138,89;-34,72;1057,2;4822,47;7233,7
363;10,4257;1209;738;1209;738;5;0;5;407,39;47;-51;173,61;0;173,61;-6028,09;0;-6028,09
364;10,4545;1209;743;1209;743;0;0;0;407,39;47;-51;0;0;0;2695,84;-1205,62;-2411,23
365;10,4833;1209;743;1209;743;2,24;-1;-2;409,63;46;-53;77,64;-34,72;-69,44;-990,84;2411,23;3616,85
366;10,5121;1208;741;1208;741;1,41;1;1;411,04;47;-52;49,1;34,72;34,72;3686,68;-6028,09;-3616,85
367;10,5409;1209;742;1209;742;4,47;-4;-2;415,51;43;-54;155,28;-138,89;-69,44;-1044,77;7233,7;6028,09
368;10,5697;1205;740;1205;740;3,61;2;3;419,12;45;-51;125,19;69,44;104,17;1800,55;-1205,62;2411,23
369;10,5985;1207;743;1207;743;5,1;1;5;424,22;46;-46;177,05;34,72;173,61;344,98;-7233,7;-3616,85
370;10,6273;1208;748;1208;748;5,39;-5;2;429,6;41;-44;186,98;-173,61;69,44;-2679,95;7233,7;1205,62
371;10,6561;1203;750;1203;750;3,16;1;3;432,77;42;-41;109,8;34,72;104,17;3217,4;4822,47;-7233,7
372;10,6849;1204;753;1204;753;5,83;5;-3;438,6;47;-44;202,46;173,61;-104,17;-1638,21;-10850,56;1205,62
373;10,7137;1209;750;1209;750;4,47;-4;-2;443,07;43;-46;155,28;-138,89;-69,44;636,4;4822,47;8439,32
374;10,7425;1205;748;1205;748;5;0;5;448,07;43;-41;173,61;0;173,61;-2618,09;-2411,23;-8439,32
375;10,7713;1205;753;1205;753;2,83;-2;-2;450,9;41;-43;98,21;-69,44;-69,44;1560,89;7233,7;3616,85
376;10,8001;1203;751;1203;751;4,12;4;1;455,02;45;-42;143,16;138,89;34,72;1176,58;-6028,09;-7233,7
377;10,8289;1207;752;1207;752;5,1;-1;-5;460,12;44;-47;177,05;-34,72;-173,61;4153,33;4822,47;15673,02
378;10,8577;1206;747;1206;747;8,54;3;8;468,66;47;-39;296,66;104,17;277,78;-6890,8;-1205,62;-12056,17
379;10,8865;1209;755;1209;755;2,83;2;-2;471,49;49;-41;98,21;69,44;-69,44;402,5;-1205,62;-1205,62
380;10,9153;1211;753;1211;753;3,16;1;-3;474,65;50;-44;109,8;34,72;-104,17;1009,97;-1205,62;-1205,62
381;10,9441;1212;750;1212;750;4;0;-4;478,65;50;-48;138,89;0;-138,89;2802,52;7233,7;2411,23
382;10,9729;1212;746;1212;746;6,32;6;-2;484,98;56;-50;219,6;208,33;-69,44;5359,9;-12056,17;14467,41
383;11,0017;1218;744;1218;744;10,77;-4;10;495,75;52;-40;373,97;-138,89;347,22;-6956,81;8439,32;-16878,64
384;11,0305;1214;754;1214;754;5;3;-4;500,75;55;-44;173,61;104,17;-138,89;1305,4;-2411,23;12056,17
385;11,0593;1217;750;1217;750;6,08;1;6;506,83;56;-38;211,21;34,72;208,33;-2362,6;0;-12056,17
386;11,0881;1218;756;1218;756;4,12;1;-4;510,95;57;-42;143,16;34,72;-138,89;1521,56;1205,62;10850,56
387;11,1169;1219;752;1219;752;5,39;2;5;516,34;59;-37;186,98;69,44;173,61;-4586,2;-3014,04;-7836,51
388;11,1457;1221;757;1221;757;3,16;-1;-3;519,5;58;-40;54,9;-17,36;-52,08;-48,91;1205,62;904,21
390;11,2033;1220;754;1220;754;3;3;0;522,5;61;-40;52,08;52,08;0;-301,4;-1507,02;0
392;11,2609;1223;754;1223;754;1;-1;0;523,5;60;-40;34,72;-34,72;0;3765,27;2411,23;-4822,47
393;11,2897;1222;754;1222;754;4,12;1;-4;527,62;61;-44;143,16;34,72;-138,89;-3765,27;-1205,62;6028,09
394;11,3185;1223;750;1223;750;1;0;1;528,62;61;-43;34,72;0;34,72;0;0;-2411,23
395;11,3473;1223;751;1223;751;1;0;-1;529,62;61;-44;34,72;0;-34,72;1490,22;2411,23;2411,23
396;11,3761;1223;750;1223;750;2,24;2;1;531,86;63;-43;77,64;69,44;34,72;-990,84;-3616,85;0
397;11,4049;1225;751;1225;751;1,41;-1;1;533,27;62;-42;49,1;-34,72;34,72;0;2411,23;-2411,23
398;11,4337;1224;752;1224;752;1,41;1;-1;534,69;63;-43;49,1;34,72;-34,72;-1102,19;-1205,62;1808,43
399;11,4625;1225;751;1225;751;1;0;1;535,69;63;-42;17,36;0;17,36;2256,1;1808,43;-2109,83
401;11,5201;1225;752;1225;752;4,24;3;-3;539,93;66;-45;147,31;104,17;-104,17;-3410;-2411,23;2411,23
402;11,5489;1228;749;1228;749;1,41;1;-1;541,35;67;-46;49,1;34,72;-34,72;-1102,19;-1205,62;602,81
403;11,5777;1229;748;1229;748;1;0;-1;542,35;67;-47;17,36;0;-17,36;2256,1;1808,43;-1507,02
405;11,6353;1229;747;1229;747;4,24;3;-3;546,59;70;-50;147,31;104,17;-104,17;4529,94;6028,09;3616,85
406;11,6641;1232;744;1232;744;8;8;0;554,59;78;-50;277,78;277,78;0;-2019,95;-16878,64;2411,23
407;11,6929;1240;744;1240;744;6,32;-6;2;560,91;72;-48;219,6;-208,33;69,44;-4214,99;9644,94;0
408;11,7217;1234;746;1234;746;2,83;2;2;563,74;74;-46;98,21;69,44;69,44;727,53;1205,62;-4420,6
409;11,7505;1236;748;1236;748;10,3;9;-5;574,04;83;-51;119,16;104,17;-57,87;-173,56;-2411,23;669,79
412;11,8369;1245;743;1245;743;3;-3;0;577,04;80;-51;104,17;-104,17;0;3203,15;-1205,62;4822,47
413;11,8657;1242;743;1242;743;5,66;-4;4;582,69;76;-47;196,42;-138,89;138,89;-672,54;3616,85;-10850,56
414;11,8945;1238;747;1238;747;5,1;-1;-5;587,79;75;-52;177,05;-34,72;-173,61;-2737,47;3616,85;3616,85
415;11,9233;1237;742;1237;742;2,83;2;-2;590,62;77;-54;98,21;69,44;-69,44;3823,7;-2411,23;-4822,47
416;11,9521;1239;740;1239;740;6;0;-6;596,62;77;-60;208,33;0;-208,33;1460,13;7233,7;12056,17
417;11,9809;1239;734;1239;734;7,21;6;4;603,83;83;-56;250,38;208,33;138,89;-4881,33;-3616,85;-6028,09
418;12,0097;1245;738;1245;738;3,16;3;-1;606,99;86;-57;109,8;104,17;-34,72;3217,4;2411,23;-2411,23
419;12,0385;1248;737;1248;737;5,83;5;-3;612,83;91;-60;202,46;173,61;-104,17;829,77;602,81;-602,81
420;12,0673;1253;734;1253;734;13,04;11;-7;625,86;102;-67;226,36;190,97;-121,53;-1444,39;-5726,68;1507,02
422;12,1249;1264;727;1264;727;4,12;-4;-1;629,99;98;-68;143,16;-138,89;-34,72;1057,2;1205,62;-3616,85
423;12,1537;1260;726;1260;726;5;-3;-4;634,99;95;-72;173,61;-104,17;-138,89;-636,4;8439,32;2411,23
424;12,1825;1257;722;1257;722;4,47;4;-2;639,46;99;-74;155,28;138,89;-69,44;362,25;-2411,23;-2813,11
425;12,2113;1261;720;1261;720;14,32;6;-13;653,78;105;-87;165,71;69,44;-150,46;131,18;-401,87;3750,81
428;12,2977;1267;707;1267;707;5,1;1;5;658,88;106;-82;177,05;34,72;173,61;0;0;0
429;12,3265;1268;712;1268;712;0;0;0;0;0;0;0;0;0;0;0;0
