Bildnummer;Zeit [s];Pixel (X) [px];Pixel (Y) [px];X Position [px];Y Position [px];Abstand [px];Abstand in x-Richtung [px];Abstand in y-Richtung [px];Strecke [px];Strecke in x-Richtung [px];Strecke in y-Richtung [px];Geschwindigkeit [px/s];Geschwindigkeit in x-Richtung [px/s];Geschwindigkeit in y-Richtung [px/s];Beschleunigung [px/s²];Beschleunigung in x-Richtung [px/s²];Beschleunigung in y-Richtung [px/s²]
95;3,8091;421;942;421;942;7,07;-7;-1;12,17;-2;-2;87,25;-86,37;-12,34;1054,94;1065,76;2283,76
97;3,8901;414;941;414;941;7;0;7;19,17;-2;5;172,75;0;172,75;-3165,13;913,51;-3654,02
98;3,9306;414;948;414;948;3,61;3;2;22,78;1;7;44,49;37,02;24,68;548,95;152,25;-1218,01
100;4,0117;417;950;417;950;3,61;2;-3;26,38;3;4;88,98;49,36;-74,03;2826,18;-6090,04;3045,02
101;4,0522;419;947;419;947;8,25;-8;2;34,63;-5;6;203,5;-197,42;49,36;459,06;10353,06;-1218,01
102;4,0927;411;949;411;949;9;9;0;43,63;4;6;222,1;222,1;0;-1629,36;-9135,06;-1218,01
103;4,1332;420;949;420;949;6,32;-6;-2;49,95;-2;4;156,08;-148,07;-49,36;1170,3;8526,05;2436,01
104;4,1738;414;947;414;947;8,25;8;2;58,2;6;6;203,5;197,42;49,36;1704,69;-11571,07;-609
105;4,2143;422;949;422;949;11,05;-11;1;69,24;-5;7;272,58;-271,46;24,68;-1854,64;11571,07;-609
106;4,2548;411;950;411;950;8;8;0;77,24;3;7;197,42;197,42;0;1338,61;-10962,07;-1218,01
107;4,2953;419;950;419;950;10,2;-10;-2;87,44;-7;5;251,67;-246,78;-49,36;6592,93;18879,11;1827,01
108;4,3358;409;948;409;948;21,02;21;1;108,47;14;6;518,83;518,24;24,68;2530,75;-28014,17;1218,01
109;4,3764;430;949;430;949;25,18;-25;3;133,64;-11;9;621,38;-616,95;74,03;-10312,35;20097,12;-3045,02
110;4,4169;405;952;405;952;8,25;8;-2;141,89;-3;7;203,5;197,42;-49,36;592,76;-8526,05;5481,03
111;4,4574;413;950;413;950;9,22;-6;7;151,11;-9;14;227,52;-148,07;172,75;-1910,31;4263,03;-7917,05
112;4,4979;407;957;407;957;6,08;1;-6;157,19;-8;8;150,11;24,68;-148,07;-1120,64;1218,01;5481,03
113;4,5385;408;951;408;951;4,24;3;3;161,44;-5;11;104,7;74,03;74,03;2619,55;-6699,04;-3654,02
114;4,579;411;954;411;954;8,54;-8;-3;169,98;-13;8;210,85;-197,42;-74,03;-2767,32;7308,04;1827,01
115;4,6195;403;951;403;951;4;4;0;173,98;-9;8;98,71;98,71;0;-510,18;-1827,01;1827,01
116;4,66;407;951;407;951;3,16;1;3;177,14;-8;11;78,04;24,68;74,03;1925,84;-4263,03;-609
117;4,7005;408;954;408;954;6,32;-6;2;183,47;-14;13;156,08;-148,07;49,36;-1340,69;6090,04;-1827,01
118;4,7411;402;956;402;956;4,12;4;-1;187,59;-10;12;101,75;98,71;-24,68;72,8;-4263,03;-1218,01
119;4,7816;406;955;406;955;4,24;-3;-3;191,83;-13;9;104,7;-74,03;-74,03;3030,95;-1827,01;6090,04
120;4,8221;403;952;403;952;9,22;-6;7;201,05;-19;16;227,52;-148,07;172,75;1275,35;8526,05;-9135,06
121;4,8626;397;959;397;959;11,31;8;-8;212,37;-11;8;279,2;197,42;-197,42;-4379,1;-4263,03;7308,04
