Bildnummer;Zeit [s];Pixel (X) [px];Pixel (Y) [px];X Position [px];Y Position [px];Abstand [px];Abstand in x-Richtung [px];Abstand in y-Richtung [px];Strecke [px];Strecke in x-Richtung [px];Strecke in y-Richtung [px];Geschwindigkeit [px/s];Geschwindigkeit in x-Richtung [px/s];Geschwindigkeit in y-Richtung [px/s];Beschleunigung [px/s²];Beschleunigung in x-Richtung [px/s²];Beschleunigung in y-Richtung [px/s²];
129;6,3955;355;828;355;828;6,4;-4;5;6,4;-4;5;128,15;-80,06;100,07;-229,19;400,56;0;
130;6,4455;351;833;351;833;5,83;-3;5;12,23;-7;10;116,7;-60,04;100,07;0;0;0;
131;6,4955;348;838;348;838;5,83;-3;5;18,07;-10;15;116,7;-60,04;100,07;-1202,69;400,56;-1201,68;
132;6,5454;345;843;345;843;2,83;-2;2;20,89;-12;17;56,61;-40,03;40,03;518,6;-801,12;-1201,68;
133;6,5954;343;845;343;845;4,12;-4;-1;25,02;-16;16;82,52;-80,06;-20,01;3367,45;6008,4;-2002,8;
134;6,6453;339;844;339;844;12,53;11;-6;37,55;-5;10;250,77;220,15;-120,08;-4618,44;-4406,16;2803,92;
135;6,6953;350;838;350;838;1;0;1;38,55;-5;11;20,01;0;20,01;5726,83;-6008,4;801,12;
136;6,7453;350;839;350;839;15,3;-15;3;53,84;-20;14;306,16;-300,21;60,04;-462,62;5207,28;4406,16;
137;6,7952;335;842;335;842;14,14;-2;14;67,99;-22;28;283,04;-40,03;280,2;-4463,1;2002,8;-5607,84;
138;6,8452;333;856;333;856;3;3;0;70,99;-19;28;60,04;60,04;0;2743,38;-4806,72;1602,24;
139;6,8952;336;856;336;856;9,85;-9;4;80,83;-28;32;197,12;-180,13;80,06;3276,14;9613,44;-5607,84;
140;6,9451;327;860;327;860;18,03;15;-10;98,86;-13;22;360,81;300,21;-200,14;1444,24;-13218,49;8812,32;
141;6,9951;342;850;342;850;21,63;-18;12;120,5;-31;34;432,97;-360,25;240,17;-7943,32;6609,24;-4406,16;
142;7,0451;324;862;324;862;3,61;-3;2;124,1;-34;36;36,08;-30,02;20,01;3315,59;3504,9;-2002,8;
144;7,145;321;864;321;864;18,36;16;-9;142,46;-18;27;367,41;320,22;-180,13;2539,8;-14820,73;8812,32;
145;7,195;337;855;337;855;24,7;-21;13;167,16;-39;40;494,31;-420,29;260,18;-2188,18;15221,29;-8812,32;
146;7,2449;316;868;316;868;19,24;17;-9;186,39;-22;31;384,98;340,24;-180,13;0;-14420,17;4806,72;
147;7,2949;333;859;333;859;19,24;-19;3;205,63;-41;34;384,98;-380,27;60,04;-1790,73;4806,72;4005,6;
148;7,3449;314;862;314;862;14,76;-7;13;220,39;-48;47;295,5;-140,1;260,18;2146,92;10014;-8812,32;
149;7,3948;307;875;307;875;20,12;18;-9;240,52;-30;38;402,77;360,25;-180,13;1888,59;-14820,73;10014;
150;7,4448;325;866;325;866;24,84;-19;16;265,36;-49;54;497,14;-380,27;320,22;-2049,43;14420,17;-10414,57;
151;7,4948;306;882;306;882;19,72;17;-10;285,08;-32;44;394,74;340,24;-200,14;-3333,19;-10414,57;6809,52;
152;7,5447;323;872;323;872;22,8;-18;14;307,88;-50;58;228,19;-180,13;140,1;-1205;1401,96;-400,56;
154;7,6446;305;886;305;886;5,39;-2;5;313,27;-52;63;107,78;-40,03;100,07;-1756,52;400,56;-2002,8;
155;7,6946;303;891;303;891;1;-1;0;314,27;-53;63;20,01;-20,01;0;1207,23;-667,6;1201,68;
156;7,7446;302;891;302;891;12,04;-8;9;326,31;-61;72;80,33;-53,37;60,04;-1,85;356,05;133,52;
159;7,8945;294;900;294;900;4;0;4;330,31;-61;76;80,06;0;80,06;834,27;-400,56;801,12;
160;7,9444;294;904;294;904;6,08;-1;6;336,39;-62;82;121,74;-20,01;120,08;-1635,39;400,56;-1602,24;
161;7,9944;293;910;293;910;2;0;2;338,39;-62;84;40,03;0;40,03;2977,76;-2002,8;-4005,6;
162;8,0444;293;912;293;912;9,43;-5;-8;347,83;-67;76;188,81;-100,07;-160,11;-1736,41;1602,24;5207,28;
163;8,0943;288;904;288;904;10,2;-2;10;358,02;-69;86;102,05;-20,01;100,07;-481,96;0;-500,7;
165;8,1943;286;914;286;914;5,39;-2;5;363,41;-71;91;53,89;-20,01;50,04;0;0;0;
167;8,2942;284;919;284;919;0;0;0;0;0;0;0;0;0;0;0;0;
