Bildnummer;Zeit [s];Pixel (X) [px];Pixel (Y) [px];X Position [px];Y Position [px];Abstand [px];Abstand in x-Richtung [px];Abstand in y-Richtung [px];Strecke [px];Strecke in x-Richtung [px];Strecke in y-Richtung [px];Geschwindigkeit [px/s];Geschwindigkeit in x-Richtung [px/s];Geschwindigkeit in y-Richtung [px/s];Beschleunigung [px/s²];Beschleunigung in x-Richtung [px/s²];Beschleunigung in y-Richtung [px/s²];
1;0;412;750;412;750;0;0;0;0;0;0;0;0;0;0;0;0;
2;0,0494;412;750;412;750;0;0;0;0;0;0;0;0;0;409,09;0;409,09;
3;0,0989;412;750;412;750;1;0;1;1;0;1;20,23;0;20,23;169,45;409,09;-818,18;
4;0,1483;412;751;412;751;1,41;1;-1;2,41;1;0;28,6;20,23;-20,23;-169,45;-818,18;409,09;
5;0,1978;413;750;413;750;1;-1;0;3,41;0;0;20,23;-20,23;0;0;409,09;-409,09;
6;0,2472;412;750;412;750;1;0;-1;4,41;0;-1;20,23;0;-20,23;0;0;0;
7;0,2966;412;749;412;749;1;0;-1;5,41;0;-2;20,23;0;-20,23;0;0;818,18;
8;0,3461;412;748;412;748;1;0;1;6,41;0;-1;20,23;0;20,23;-409,09;0;-409,09;
9;0,3955;412;749;412;749;0;0;0;6,41;0;-1;0;0;0;0;0;0;
10;0,445;412;749;412;749;0;0;0;6,41;0;-1;0;0;0;409,09;0;409,09;
11;0,4944;412;749;412;749;1;0;1;7,41;0;0;20,23;0;20,23;-409,09;0;-409,09;
12;0,5439;412;750;412;750;0;0;0;7,41;0;0;0;0;0;0;0;0;
13;0,5933;412;750;412;750;0;0;0;7,41;0;0;0;0;0;0;0;0;
14;0,6427;412;750;412;750;0;0;0;7,41;0;0;0;0;0;0;0;0;
15;0,6922;412;750;412;750;0;0;0;7,41;0;0;0;0;0;914,76;409,09;-818,18;
16;0,7416;412;750;412;750;2,24;1;-2;9,65;1;-2;45,23;20,23;-40,45;0;-818,18;1636,36;
17;0,7911;413;748;413;748;2,24;-1;2;11,89;0;0;45,23;-20,23;40,45;-336,21;818,18;-1227,27;
18;0,8405;412;750;412;750;1,41;1;-1;13,3;1;-1;28,6;20,23;-20,23;-578,54;-409,09;409,09;
19;0,8899;413;749;413;749;0;0;0;13,3;1;-1;0;0;0;409,09;0;409,09;
20;0,9394;413;749;413;749;1;0;1;14,3;1;0;20,23;0;20,23;0;-409,09;-409,09;
21;0,9888;413;750;413;750;1;-1;0;15,3;0;0;20,23;-20,23;0;-409,09;409,09;0;
22;1,0383;412;750;412;750;0;0;0;15,3;0;0;0;0;0;409,09;409,09;0;
23;1,0877;412;750;412;750;1;1;0;16,3;1;0;20,23;20,23;0;169,45;-818,18;409,09;
24;1,1372;413;750;413;750;1,41;-1;1;17,71;0;1;28,6;-20,23;20,23;0;818,18;-818,18;
25;1,1866;412;751;412;751;1,41;1;-1;19,13;1;0;28,6;20,23;-20,23;-169,45;-818,18;409,09;
26;1,236;413;750;413;750;1;-1;0;20,13;0;0;20,23;-20,23;0;409,09;409,09;818,18;
27;1,2855;412;750;412;750;2;0;2;22,13;0;2;40,45;0;40,45;96,57;409,09;-1636,36;
28;1,3349;412;752;412;752;2,24;1;-2;24,37;1;0;45,23;20,23;-40,45;-914,76;-409,09;818,18;
29;1,3844;413;750;413;750;0;0;0;24,37;1;0;0;0;0;914,76;-409,09;-818,18;
30;1,4338;413;750;413;750;2,24;-1;-2;26,6;0;-2;45,23;-20,23;-40,45;-96,57;409,09;1636,36;
31;1,4832;412;748;412;748;2;0;2;28,6;0;0;40,45;0;40,45;-409,09;0;-409,09;
32;1,5327;412;750;412;750;1;0;1;29,6;0;1;20,23;0;20,23;0;0;-818,18;
33;1,5821;412;751;412;751;1;0;-1;30,6;0;0;20,23;0;-20,23;0;0;0;
34;1,6316;412;750;412;750;1;0;-1;31,6;0;-1;20,23;0;-20,23;0;0;818,18;
35;1,681;412;749;412;749;1;0;1;32,6;0;0;20,23;0;20,23;-409,09;0;-409,09;
36;1,7304;412;750;412;750;0;0;0;32,6;0;0;0;0;0;0;0;0;
37;1,7799;412;750;412;750;0;0;0;32,6;0;0;0;0;0;818,18;0;-818,18;
38;1,8293;412;750;412;750;2;0;-2;34,6;0;-2;40,45;0;-40,45;0;0;1636,36;
39;1,8788;412;748;412;748;2;0;2;36,6;0;0;40,45;0;40,45;0;0;-1636,36;
40;1,9282;412;750;412;750;2;0;-2;38,6;0;-2;40,45;0;-40,45;96,57;-409,09;1636,36;
41;1,9777;412;748;412;748;2,24;-1;2;40,84;-1;0;45,23;-20,23;40,45;0;1227,27;-1227,27;
42;2,0271;411;750;411;750;2,24;2;-1;43,07;1;-1;45,23;40,45;-20,23;0;-1227,27;1227,27;
43;2,0765;413;749;413;749;2,24;-1;2;45,31;0;1;45,23;-20,23;40,45;-914,76;409,09;-818,18;
44;2,126;412;751;412;751;0;0;0;45,31;0;1;0;0;0;409,09;0;-409,09;
45;2,1754;412;751;412;751;1;0;-1;46,31;0;0;20,23;0;-20,23;-409,09;0;409,09;
46;2,2249;412;750;412;750;0;0;0;46,31;0;0;0;0;0;409,09;0;409,09;
47;2,2743;412;750;412;750;1;0;1;47,31;0;1;20,23;0;20,23;0;0;0;
48;2,3237;412;751;412;751;1;0;1;48,31;0;2;20,23;0;20,23;409,09;0;-1227,27;
49;2,3732;412;752;412;752;2;0;-2;50,31;0;0;40,45;0;-40,45;0;0;0;
50;2,4226;412;750;412;750;2;0;-2;52,31;0;-2;40,45;0;-40,45;-818,18;0;818,18;
51;2,4721;412;748;412;748;0;0;0;52,31;0;-2;0;0;0;818,18;0;818,18;
52;2,5215;412;748;412;748;2;0;2;54,31;0;0;40,45;0;40,45;-409,09;0;-1227,27;
53;2,5709;412;750;412;750;1;0;-1;55,31;0;-1;20,23;0;-20,23;409,09;0;-409,09;
54;2,6204;412;749;412;749;2;0;-2;57,31;0;-3;40,45;0;-40,45;-409,09;409,09;818,18;
55;2,6698;412;747;412;747;1;1;0;58,31;1;-3;20,23;20,23;0;0;-818,18;0;
56;2,7193;413;747;413;747;1;-1;0;59,31;0;-3;20,23;-20,23;0;0;409,09;409,09;
57;2,7687;412;747;412;747;1;0;1;60,31;0;-2;20,23;0;20,23;-409,09;0;-409,09;
58;2,8182;412;748;412;748;0;0;0;60,31;0;-2;0;0;0;818,18;0;818,18;
59;2,8676;412;748;412;748;2;0;2;62,31;0;0;40,45;0;40,45;-818,18;0;-818,18;
60;2,917;412;750;412;750;0;0;0;62,31;0;0;0;0;0;409,09;0;409,09;
61;2,9665;412;750;412;750;1;0;1;63,31;0;1;20,23;0;20,23;0;0;-818,18;
62;3,0159;412;751;412;751;1;0;-1;64,31;0;0;20,23;0;-20,23;0;0;0;
63;3,0654;412;750;412;750;1;0;-1;65,31;0;-1;20,23;0;-20,23;0;409,09;409,09;
64;3,1148;412;749;412;749;1;1;0;66,31;1;-1;20,23;20,23;0;0;-818,18;0;
65;3,1642;413;749;413;749;1;-1;0;67,31;0;-1;20,23;-20,23;0;169,45;0;409,09;
66;3,2137;412;749;412;749;1,41;-1;1;68,72;-1;0;28,6;-20,23;20,23;239,64;409,09;-1227,27;
67;3,2631;411;750;411;750;2;0;-2;70,72;-1;-2;40,45;0;-40,45;0;818,18;818,18;
68;3,3126;411;748;411;748;2;2;0;72,72;1;-2;40,45;40,45;0;-409,09;-1227,27;0;
69;3,362;413;748;413;748;1;-1;0;73,72;0;-2;20,23;-20,23;0;-409,09;409,09;0;
70;3,4115;412;748;412;748;0;0;0;73,72;0;-2;0;0;0;578,54;409,09;409,09;
71;3,4609;412;748;412;748;1,41;1;1;75,14;1;-1;28,6;20,23;20,23;0;-818,18;-818,18;
72;3,5103;413;749;413;749;1,41;-1;-1;76,55;0;-2;28,6;-20,23;-20,23;-578,54;409,09;409,09;
73;3,5598;412;748;412;748;0;0;0;76,55;0;-2;0;0;0;0;0;0;
74;3,6092;412;748;412;748;0;0;0;76,55;0;-2;0;0;0;0;0;0;
75;3,6587;412;748;412;748;0;0;0;76,55;0;-2;0;0;0;409,09;-409,09;0;
76;3,7081;412;748;412;748;1;-1;0;77,55;-1;-2;20,23;-20,23;0;-409,09;409,09;0;
