Bildnummer;Zeit [s];Pixel (X) [px];Pixel (Y) [px];X Position [px];Y Position [px];Abstand [px];Abstand in x-Richtung [px];Abstand in y-Richtung [px];Strecke [px];Strecke in x-Richtung [px];Strecke in y-Richtung [px];Geschwindigkeit [px/s];Geschwindigkeit in x-Richtung [px/s];Geschwindigkeit in y-Richtung [px/s];Beschleunigung [px/s²];Beschleunigung in x-Richtung [px/s²];Beschleunigung in y-Richtung [px/s²];
1;0;316;255;316;255;2,24;-2;1;2,24;-2;1;45,23;-40,45;20,23;-914,76;818,18;-409,09;
2;0,0494;314;256;314;256;0;0;0;2,24;-2;1;0;0;0;914,76;818,18;-409,09;
3;0,0989;314;256;314;256;2,24;2;-1;4,47;0;0;45,23;40,45;-20,23;-914,76;-818,18;409,09;
4;0,1483;316;255;316;255;0;0;0;4,47;0;0;0;0;0;0;0;0;
5;0,1978;316;255;316;255;0;0;0;4,47;0;0;0;0;0;409,09;-409,09;0;
6;0,2472;316;255;316;255;1;-1;0;5,47;-1;0;20,23;-20,23;0;0;818,18;0;
7;0,2966;315;255;315;255;1;1;0;6,47;0;0;20,23;20,23;0;169,45;-818,18;409,09;
8;0,3461;316;255;316;255;1,41;-1;1;7,89;-1;1;28,6;-20,23;20,23;-578,54;409,09;-409,09;
9;0,3955;315;256;315;256;0;0;0;7,89;-1;1;0;0;0;409,09;0;-409,09;
10;0,445;315;256;315;256;1;0;-1;8,89;-1;0;20,23;0;-20,23;0;0;818,18;
11;0,4944;315;255;315;255;1;0;1;9,89;-1;1;20,23;0;20,23;0;409,09;-409,09;
12;0,5439;315;256;315;256;1;1;0;10,89;0;1;20,23;20,23;0;0;-818,18;0;
13;0,5933;316;256;316;256;1;-1;0;11,89;-1;1;20,23;-20,23;0;-409,09;409,09;0;
14;0,6427;315;256;315;256;0;0;0;11,89;-1;1;0;0;0;818,18;-818,18;0;
15;0,6922;315;256;315;256;2;-2;0;13,89;-3;1;40,45;-40,45;0;0;1636,36;0;
16;0,7416;313;256;313;256;2;2;0;15,89;-1;1;40,45;40,45;0;-818,18;-818,18;0;
17;0,7911;315;256;315;256;0;0;0;15,89;-1;1;0;0;0;0;0;0;
18;0,8405;315;256;315;256;0;0;0;15,89;-1;1;0;0;0;578,54;-409,09;409,09;
19;0,8899;315;256;315;256;1,41;-1;1;17,3;-2;2;28,6;-20,23;20,23;578,54;1227,27;-1227,27;
20;0,9394;314;257;314;257;2,83;2;-2;20,13;0;0;57,21;40,45;-40,45;-1157,08;-818,18;818,18;
21;0,9888;316;255;316;255;0;0;0;20,13;0;0;0;0;0;578,54;-409,09;409,09;
22;1,0383;316;255;316;255;1,41;-1;1;21,54;-1;1;28,6;-20,23;20,23;-578,54;409,09;-409,09;
23;1,0877;315;256;315;256;0;0;0;21,54;-1;1;0;0;0;0;0;0;
24;1,1372;315;256;315;256;0;0;0;21,54;-1;1;0;0;0;409,09;-409,09;0;
25;1,1866;315;256;315;256;1;-1;0;22,54;-2;1;20,23;-20,23;0;169,45;818,18;-409,09;
26;1,236;314;256;314;256;1,41;1;-1;23,96;-1;0;28,6;20,23;-20,23;0;0;818,18;
27;1,2855;315;255;315;255;1,41;1;1;25,37;0;1;28,6;20,23;20,23;-169,45;-818,18;-409,09;
28;1,3349;316;256;316;256;1;-1;0;26,37;-1;1;20,23;-20,23;0;-409,09;409,09;0;
29;1,3844;315;256;315;256;0;0;0;26,37;-1;1;0;0;0;0;0;0;
30;1,4338;315;256;315;256;0;0;0;26,37;-1;1;0;0;0;0;0;0;
31;1,4832;315;256;315;256;0;0;0;26,37;-1;1;0;0;0;0;0;0;
32;1,5327;315;256;315;256;0;0;0;26,37;-1;1;0;0;0;0;0;0;
33;1,5821;315;256;315;256;0;0;0;26,37;-1;1;0;0;0;409,09;409,09;0;
34;1,6316;315;256;315;256;1;1;0;27,37;0;1;20,23;20,23;0;0;-818,18;0;
35;1,681;316;256;316;256;1;-1;0;28,37;-1;1;20,23;-20,23;0;-409,09;409,09;0;
36;1,7304;315;256;315;256;0;0;0;28,37;-1;1;0;0;0;0;0;0;
37;1,7799;315;256;315;256;0;0;0;28,37;-1;1;0;0;0;409,09;409,09;0;
38;1,8293;315;256;315;256;1;1;0;29,37;0;1;20,23;20,23;0;169,45;-818,18;409,09;
39;1,8788;316;256;316;256;1,41;-1;1;30,79;-1;2;28,6;-20,23;20,23;0;818,18;-818,18;
40;1,9282;315;257;315;257;1,41;1;-1;32,2;0;1;28,6;20,23;-20,23;-578,54;-409,09;409,09;
41;1,9777;316;256;316;256;0;0;0;32,2;0;1;0;0;0;0;0;0;
42;2,0271;316;256;316;256;0;0;0;32,2;0;1;0;0;0;409,09;-409,09;0;
43;2,0765;316;256;316;256;1;-1;0;33,2;-1;1;20,23;-20,23;0;-409,09;409,09;0;
44;2,126;315;256;315;256;0;0;0;33,2;-1;1;0;0;0;818,18;-818,18;0;
45;2,1754;315;256;315;256;2;-2;0;35,2;-3;1;40,45;-40,45;0;96,57;1636,36;-409,09;
46;2,2249;313;256;313;256;2,24;2;-1;37,44;-1;0;45,23;40,45;-20,23;-505,66;-818,18;818,18;
47;2,2743;315;255;315;255;1;0;1;38,44;-1;1;20,23;0;20,23;-409,09;0;-409,09;
48;2,3237;315;256;315;256;0;0;0;38,44;-1;1;0;0;0;409,09;409,09;0;
49;2,3732;315;256;315;256;1;1;0;39,44;0;1;20,23;20,23;0;169,45;-818,18;-409,09;
50;2,4226;316;256;316;256;1,41;-1;-1;40,85;-1;0;28,6;-20,23;-20,23;0;818,18;818,18;
51;2,4721;315;255;315;255;1,41;1;1;42,26;0;1;28,6;20,23;20,23;-169,45;-818,18;-409,09;
52;2,5215;316;256;316;256;1;-1;0;43,26;-1;1;20,23;-20,23;0;0;0;0;
53;2,5709;315;256;315;256;1;-1;0;44,26;-2;1;20,23;-20,23;0;169,45;818,18;-409,09;
54;2,6204;314;256;314;256;1,41;1;-1;45,68;-1;0;28,6;20,23;-20,23;-169,45;0;409,09;
55;2,6698;315;255;315;255;1;1;0;46,68;0;0;20,23;20,23;0;0;-818,18;0;
56;2,7193;316;255;316;255;1;-1;0;47,68;-1;0;20,23;-20,23;0;0;409,09;409,09;
57;2,7687;315;255;315;255;1;0;1;48,68;-1;1;20,23;0;20,23;0;-409,09;-409,09;
58;2,8182;315;256;315;256;1;-1;0;49,68;-2;1;20,23;-20,23;0;0;818,18;0;
59;2,8676;314;256;314;256;1;1;0;50,68;-1;1;20,23;20,23;0;0;-409,09;-409,09;
60;2,917;315;256;315;256;1;0;-1;51,68;-1;0;20,23;0;-20,23;0;0;818,18;
61;2,9665;315;255;315;255;1;0;1;52,68;-1;1;20,23;0;20,23;0;0;-818,18;
62;3,0159;315;256;315;256;1;0;-1;53,68;-1;0;20,23;0;-20,23;0;0;818,18;
63;3,0654;315;255;315;255;1;0;1;54,68;-1;1;20,23;0;20,23;0;409,09;-409,09;
64;3,1148;315;256;315;256;1;1;0;55,68;0;1;20,23;20,23;0;409,09;-1227,27;0;
65;3,1642;316;256;316;256;2;-2;0;57,68;-2;1;40,45;-40,45;0;-818,18;818,18;0;
66;3,2137;314;256;314;256;0;0;0;57,68;-2;1;0;0;0;0;0;0;
67;3,2631;314;256;314;256;0;0;0;57,68;-2;1;0;0;0;409,09;0;409,09;
68;3,3126;314;256;314;256;1;0;1;58,68;-2;2;20,23;0;20,23;409,09;818,18;-409,09;
69;3,362;314;257;314;257;2;2;0;60,68;0;2;40,45;40,45;0;-409,09;-1227,27;0;
70;3,4115;316;257;316;257;1;-1;0;61,68;-1;2;20,23;-20,23;0;409,09;409,09;-818,18;
71;3,4609;315;257;315;257;2;0;-2;63,68;-1;0;40,45;0;-40,45;-409,09;0;1227,27;
72;3,5103;315;255;315;255;1;0;1;64,68;-1;1;20,23;0;20,23;-409,09;0;-409,09;
73;3,5598;315;256;315;256;0;0;0;64,68;-1;1;0;0;0;0;0;0;
74;3,6092;315;256;315;256;0;0;0;64,68;-1;1;0;0;0;409,09;-409,09;0;
75;3,6587;315;256;315;256;1;-1;0;65,68;-2;1;20,23;-20,23;0;-409,09;409,09;0;
76;3,7081;314;256;314;256;0;0;0;65,68;-2;1;0;0;0;409,09;409,09;0;
77;3,7575;314;256;314;256;1;1;0;66,68;-1;1;20,23;20,23;0;0;0;0;
78;3,807;315;256;315;256;1;1;0;67,68;0;1;20,23;20,23;0;0;-818,18;0;
79;3,8564;316;256;316;256;1;-1;0;68,68;-1;1;20,23;-20,23;0;0;0;0;
80;3,9059;315;256;315;256;1;-1;0;69,68;-2;1;20,23;-20,23;0;169,45;818,18;409,09;
81;3,9553;314;256;314;256;1,41;1;1;71,09;-1;2;28,6;20,23;20,23;-578,54;-409,09;-409,09;
82;4,0047;315;257;315;257;0;0;0;71,09;-1;2;0;0;0;409,09;-409,09;0;
83;4,0542;315;257;315;257;1;-1;0;72,09;-2;2;20,23;-20,23;0;0;409,09;-409,09;
84;4,1036;314;257;314;257;1;0;-1;73,09;-2;1;20,23;0;-20,23;0;409,09;409,09;
85;4,1531;314;256;314;256;1;1;0;74,09;-1;1;20,23;20,23;0;505,66;-818,18;818,18;
86;4,2025;315;256;315;256;2,24;-1;2;76,33;-2;3;45,23;-20,23;40,45;242,33;1227,27;-1636,36;
87;4,252;314;258;314;258;2,83;2;-2;79,16;0;1;57,21;40,45;-40,45;-242,33;-1636,36;1227,27;
88;4,3014;316;256;316;256;2,24;-2;1;81,39;-2;2;45,23;-40,45;20,23;-336,21;1227,27;-818,18;
89;4,3508;314;257;314;257;1,41;1;-1;82,81;-1;1;28,6;20,23;-20,23;-578,54;-409,09;409,09;
90;4,4003;315;256;315;256;0;0;0;82,81;-1;1;0;0;0;409,09;0;409,09;
91;4,4497;315;256;315;256;1;0;1;83,81;-1;2;20,23;0;20,23;169,45;-409,09;-818,18;
92;4,4992;315;257;315;257;1,41;-1;-1;85,22;-2;1;28,6;-20,23;-20,23;239,64;1227,27;409,09;
93;4,5486;314;256;314;256;2;2;0;87,22;0;1;40,45;40,45;0;-239,64;-1227,27;-409,09;
94;4,598;316;256;316;256;1,41;-1;-1;88,64;-1;0;28,6;-20,23;-20,23;-578,54;409,09;409,09;
95;4,6475;315;255;315;255;0;0;0;88,64;-1;0;0;0;0;409,09;409,09;0;
96;4,6969;315;255;315;255;1;1;0;89,64;0;0;20,23;20,23;0;-409,09;-409,09;0;
97;4,7464;316;255;316;255;0;0;0;89,64;0;0;0;0;0;409,09;0;409,09;
98;4,7958;316;255;316;255;1;0;1;90,64;0;1;20,23;0;20,23;169,45;-409,09;-818,18;
99;4,8452;316;256;316;256;1,41;-1;-1;92,05;-1;0;28,6;-20,23;-20,23;-169,45;409,09;818,18;
100;4,8947;315;255;315;255;1;0;1;93,05;-1;1;20,23;0;20,23;-409,09;0;-409,09;
101;4,9441;315;256;315;256;0;0;0;93,05;-1;1;0;0;0;0;0;0;
102;4,9936;315;256;315;256;0;0;0;93,05;-1;1;0;0;0;0;0;0;
103;5,043;315;256;315;256;0;0;0;93,05;-1;1;0;0;0;409,09;-409,09;0;
104;5,0925;315;256;315;256;1;-1;0;94,05;-2;1;20,23;-20,23;0;505,66;1227,27;-409,09;
105;5,1419;314;256;314;256;2,24;2;-1;96,29;0;0;45,23;40,45;-20,23;-914,76;-818,18;409,09;
106;5,1913;316;255;316;255;0;0;0;96,29;0;0;0;0;0;578,54;-409,09;409,09;
107;5,2408;316;255;316;255;1,41;-1;1;97,7;-1;1;28,6;-20,23;20,23;0;818,18;-818,18;
108;5,2902;315;256;315;256;1,41;1;-1;99,11;0;0;28,6;20,23;-20,23;0;-818,18;818,18;
109;5,3397;316;255;316;255;1,41;-1;1;100,53;-1;1;28,6;-20,23;20,23;0;818,18;-818,18;
110;5,3891;315;256;315;256;1,41;1;-1;101,94;0;0;28,6;20,23;-20,23;-578,54;-409,09;409,09;
111;5,4385;316;255;316;255;0;0;0;101,94;0;0;0;0;0;0;0;0;
112;5,488;316;255;316;255;0;0;0;101,94;0;0;0;0;0;409,09;0;409,09;
113;5,5374;316;255;316;255;1;0;1;102,94;0;1;20,23;0;20,23;409,09;-818,18;-409,09;
114;5,5869;316;256;316;256;2;-2;0;104,94;-2;1;40,45;-40,45;0;-409,09;818,18;-409,09;
115;5,6363;314;256;314;256;1;0;-1;105,94;-2;0;20,23;0;-20,23;505,66;818,18;818,18;
116;5,6858;314;255;314;255;2,24;2;1;108,18;0;1;45,23;40,45;20,23;-505,66;-1227,27;-409,09;
117;5,7352;316;256;316;256;1;-1;0;109,18;-1;1;20,23;-20,23;0;169,45;818,18;-409,09;
118;5,7846;315;256;315;256;1,41;1;-1;110,59;0;0;28,6;20,23;-20,23;578,54;-1227,27;1227,27;
119;5,8341;316;255;316;255;2,83;-2;2;113,42;-2;2;57,21;-40,45;40,45;-747,99;818,18;-1227,27;
120;5,8835;314;257;314;257;1;0;-1;114,42;-2;1;20,23;0;-20,23;-409,09;0;409,09;
