Bildnummer;Zeit [s];Pixel (X) [px];Pixel (Y) [px];X Position [px];Y Position [px];Abstand [px];Abstand in x-Richtung [px];Abstand in y-Richtung [px];Strecke [px];Strecke in x-Richtung [px];Strecke in y-Richtung [px];Geschwindigkeit [px/s];Geschwindigkeit in x-Richtung [px/s];Geschwindigkeit in y-Richtung [px/s];Beschleunigung [px/s²];Beschleunigung in x-Richtung [px/s²];Beschleunigung in y-Richtung [px/s²];
1;0;298;875;298;875;0;0;0;0;0;0;0;0;0;0;0;0;
2;0,05;298;875;298;875;0;0;0;0;0;0;0;0;0;400,24;0;-400,24;
3;0,1;298;875;298;875;1;0;-1;1;0;-1;20,01;0;-20,01;0;0;800,48;
4;0,15;298;874;298;874;1;0;1;2;0;0;20,01;0;20,01;0;0;-800,48;
5;0,1999;298;875;298;875;1;0;-1;3;0;-1;20,01;0;-20,01;0;0;800,48;
6;0,2499;298;874;298;874;1;0;1;4;0;0;20,01;0;20,01;-400,24;0;-400,24;
7;0,2999;298;875;298;875;0;0;0;4;0;0;0;0;0;0;0;0;
8;0,3499;298;875;298;875;0;0;0;4;0;0;0;0;0;400,24;0;-400,24;
9;0,3999;298;875;298;875;1;0;-1;5;0;-1;20,01;0;-20,01;0;0;800,48;
10;0,4499;298;874;298;874;1;0;1;6;0;0;20,01;0;20,01;-400,24;0;-400,24;
11;0,4999;298;875;298;875;0;0;0;6;0;0;0;0;0;0;0;0;
12;0,5498;298;875;298;875;0;0;0;6;0;0;0;0;0;0;0;0;
13;0,5998;298;875;298;875;0;0;0;6;0;0;0;0;0;0;0;0;
14;0,6498;298;875;298;875;0;0;0;6;0;0;0;0;0;0;0;0;
15;0,6998;298;875;298;875;0;0;0;6;0;0;0;0;0;0;0;0;
16;0,7498;298;875;298;875;0;0;0;6;0;0;0;0;0;0;0;0;
17;0,7998;298;875;298;875;0;0;0;6;0;0;0;0;0;0;0;0;
18;0,8497;298;875;298;875;0;0;0;6;0;0;0;0;0;0;0;0;
19;0,8997;298;875;298;875;0;0;0;6;0;0;0;0;0;0;0;0;
20;0,9497;298;875;298;875;0;0;0;6;0;0;0;0;0;0;0;0;
21;0,9997;298;875;298;875;0;0;0;6;0;0;0;0;0;0;0;0;
22;1,0497;298;875;298;875;0;0;0;6;0;0;0;0;0;0;0;0;
23;1,0997;298;875;298;875;0;0;0;6;0;0;0;0;0;0;0;0;
24;1,1497;298;875;298;875;0;0;0;6;0;0;0;0;0;0;0;0;
25;1,1996;298;875;298;875;0;0;0;6;0;0;0;0;0;0;0;0;
26;1,2496;298;875;298;875;0;0;0;6;0;0;0;0;0;400,24;0;400,24;
27;1,2996;298;875;298;875;1;0;1;7;0;1;20,01;0;20,01;0;0;-800,48;
28;1,3496;298;876;298;876;1;0;-1;8;0;0;20,01;0;-20,01;-400,24;0;400,24;
